CD4 Naïve	CCR7, LEF1, IL7R
CD4 T central memory	LTB, LDHB, IL32, GPR183
CD4 T effector memory	CCL5, IL32, GZMA, LTB, COTL1, ALOX5AP
CD4 Cytotoxic	CST7, IL32, NKG7, GNLY, B2M
CD4 Regulatory	FOXP3, CTLA4, TIGIT
CD8 Naïve	CD8A, LEF1, NELL2, CCR7
CD8 T central memory	CD8A, IL7R, LBHD, ANXA1, COTL1
CD8 T effector memory	CD8A, CCL5, GZMK, KLRD1, CST7, ALOX5AP
CD8 Cytotoxic/TEMRA	PRF1, HOPX, XCL2, CCL5, GNLY, NKG7, GZMH
MAIT	IL7R, KLRB1
Gamma Delta	TRDC, CD7, NKG7, TRGC1, TRDV1
Mature (Terminally differentiated) CD16+ NK	GZMA, PRF1, GNLY, FCGR3A, ACTB, CST7, S100A4
CD16+ Mature NK	FCGR3A, CCL4, GNLY, KLRD1
Immature NK	IL7R, SELL, CCR7, GPR183, XCL1
